instance,jobs,machines,operations,mean_flexibility,min_time,max_time
mk01,10,6,55,2.090909090909091,1.0,6.0
mk02,10,6,58,4.103448275862069,1.0,6.0
mk03,15,8,150,3.006666666666667,1.0,19.0
mk04,15,8,90,1.9111111111111112,1.0,9.0
mk05,15,4,106,1.7075471698113207,5.0,9.0
mk06,10,10,150,3.2666666666666666,1.0,9.0
mk07,20,5,100,2.83,1.0,19.0
mk08,20,10,225,1.431111111111111,5.0,19.0
mk09,20,10,240,2.525,5.0,19.0
mk10,20,15,240,2.9833333333333334,5.0,19.0
mk11,30,5,179,1.5083798882681565,10.0,29.0
mk12,30,10,193,1.4922279792746114,10.0,29.0
mk13,30,10,231,3.367965367965368,10.0,29.0
mk14,30,15,277,1.55956678700361,10.0,29.0
mk15,30,15,284,3.0316901408450705,10.0,29.0
