instance,scenario,idle_ratio,machine,processing_power,idle_power
mk01,independent,0.05,1,5.5,0.275
mk01,independent,0.05,2,2.0,0.1
mk01,independent,0.05,3,2.75,0.1375
mk01,independent,0.05,4,3.5,0.17500000000000002
mk01,independent,0.05,5,4.25,0.21250000000000002
mk01,independent,0.05,6,5.0,0.25
mk01,independent,0.15,1,5.5,0.825
mk01,independent,0.15,2,2.0,0.3
mk01,independent,0.15,3,2.75,0.4125
mk01,independent,0.15,4,3.5,0.525
mk01,independent,0.15,5,4.25,0.6375
mk01,independent,0.15,6,5.0,0.75
mk01,independent,0.3,1,5.5,1.65
mk01,independent,0.3,2,2.0,0.6
mk01,independent,0.3,3,2.75,0.825
mk01,independent,0.3,4,3.5,1.05
mk01,independent,0.3,5,4.25,1.275
mk01,independent,0.3,6,5.0,1.5
mk01,speed,0.05,1,6.0,0.30000000000000004
mk01,speed,0.05,2,2.0,0.1
mk01,speed,0.05,3,3.1111111111111116,0.15555555555555559
mk01,speed,0.05,4,2.770975056689342,0.1385487528344671
mk01,speed,0.05,5,3.7805383022774333,0.18902691511387168
mk01,speed,0.05,6,2.8058608058608057,0.1402930402930403
mk01,speed,0.15,1,6.0,0.8999999999999999
mk01,speed,0.15,2,2.0,0.3
mk01,speed,0.15,3,3.1111111111111116,0.46666666666666673
mk01,speed,0.15,4,2.770975056689342,0.4156462585034013
mk01,speed,0.15,5,3.7805383022774333,0.567080745341615
mk01,speed,0.15,6,2.8058608058608057,0.4208791208791208
mk01,speed,0.3,1,6.0,1.7999999999999998
mk01,speed,0.3,2,2.0,0.6
mk01,speed,0.3,3,3.1111111111111116,0.9333333333333335
mk01,speed,0.3,4,2.770975056689342,0.8312925170068026
mk01,speed,0.3,5,3.7805383022774333,1.13416149068323
mk01,speed,0.3,6,2.8058608058608057,0.8417582417582417
mk02,independent,0.05,1,5.5,0.275
mk02,independent,0.05,2,2.0,0.1
mk02,independent,0.05,3,2.75,0.1375
mk02,independent,0.05,4,3.5,0.17500000000000002
mk02,independent,0.05,5,4.25,0.21250000000000002
mk02,independent,0.05,6,5.0,0.25
mk02,independent,0.15,1,5.5,0.825
mk02,independent,0.15,2,2.0,0.3
mk02,independent,0.15,3,2.75,0.4125
mk02,independent,0.15,4,3.5,0.525
mk02,independent,0.15,5,4.25,0.6375
mk02,independent,0.15,6,5.0,0.75
mk02,independent,0.3,1,5.5,1.65
mk02,independent,0.3,2,2.0,0.6
mk02,independent,0.3,3,2.75,0.825
mk02,independent,0.3,4,3.5,1.05
mk02,independent,0.3,5,4.25,1.275
mk02,independent,0.3,6,5.0,1.5
mk02,speed,0.05,1,6.0,0.30000000000000004
mk02,speed,0.05,2,3.584429498244152,0.1792214749122076
mk02,speed,0.05,3,2.0,0.1
mk02,speed,0.05,4,2.7634069400630916,0.1381703470031546
mk02,speed,0.05,5,2.525624450535245,0.12628122252676227
mk02,speed,0.05,6,4.458765209553851,0.22293826047769258
mk02,speed,0.15,1,6.0,0.8999999999999999
mk02,speed,0.15,2,3.584429498244152,0.5376644247366228
mk02,speed,0.15,3,2.0,0.3
mk02,speed,0.15,4,2.7634069400630916,0.41451104100946373
mk02,speed,0.15,5,2.525624450535245,0.37884366758028676
mk02,speed,0.15,6,4.458765209553851,0.6688147814330777
mk02,speed,0.3,1,6.0,1.7999999999999998
mk02,speed,0.3,2,3.584429498244152,1.0753288494732456
mk02,speed,0.3,3,2.0,0.6
mk02,speed,0.3,4,2.7634069400630916,0.8290220820189275
mk02,speed,0.3,5,2.525624450535245,0.7576873351605735
mk02,speed,0.3,6,4.458765209553851,1.3376295628661554
mk03,independent,0.05,1,5.5,0.275
